No.,Time,Source,Destination,Protocol,Classification,Length,Info
132,35.992143,172.20.10.5,172.20.10.1,ICMP,Benign,74,"Echo (ping) request  id=0x0001, seq=16/4096, ttl=128 (reply in 133)"
133,35.994271,172.20.10.1,172.20.10.5,ICMP,Benign,74,"Echo (ping) reply    id=0x0001, seq=16/4096, ttl=64 (request in 132)"
134,36.470229,2605:b100:10b:a167:6c9c:d116:7e33:7cdb,2605:b100:10b:a167:e022:133f:fb63:a03e,ICMPv6,Benign,86,Neighbor Solicitation for 2605:b100:10b:a167:e022:133f:fb63:a03e from f6:21:ca:cb:6b:64
135,36.470302,2605:b100:10b:a167:e022:133f:fb63:a03e,2605:b100:10b:a167:6c9c:d116:7e33:7cdb,ICMPv6,Benign,86,"Neighbor Advertisement 2605:b100:10b:a167:e022:133f:fb63:a03e (sol, ovr) is at 40:74:e0:b9:da:1b"
136,36.99818,172.20.10.5,172.20.10.1,ICMP,Benign,74,"Echo (ping) request  id=0x0001, seq=17/4352, ttl=128 (reply in 137)"
137,37.001315,172.20.10.1,172.20.10.5,ICMP,Benign,74,"Echo (ping) reply    id=0x0001, seq=17/4352, ttl=64 (request in 136)"
138,41.305,2605:b100:10b:a167:e022:133f:fb63:a03e,2605:b100:10b:a167:6c9c:d116:7e33:7cdb,ICMPv6,Benign,86,Neighbor Solicitation for 2605:b100:10b:a167:6c9c:d116:7e33:7cdb from 40:74:e0:b9:da:1b
139,41.307742,2605:b100:10b:a167:6c9c:d116:7e33:7cdb,2605:b100:10b:a167:e022:133f:fb63:a03e,ICMPv6,Benign,78,"Neighbor Advertisement 2605:b100:10b:a167:6c9c:d116:7e33:7cdb (rtr, sol)"
140,41.726411,172.20.10.5,172.20.10.1,ICMP,Benign,74,"Echo (ping) request  id=0x0001, seq=18/4608, ttl=128 (reply in 141)"
141,41.728635,172.20.10.1,172.20.10.5,ICMP,Benign,74,"Echo (ping) reply    id=0x0001, seq=18/4608, ttl=64 (request in 140)"
142,42.735291,172.20.10.5,172.20.10.1,ICMP,Benign,74,"Echo (ping) request  id=0x0001, seq=19/4864, ttl=128 (reply in 143)"
143,42.738055,172.20.10.1,172.20.10.5,ICMP,Benign,74,"Echo (ping) reply    id=0x0001, seq=19/4864, ttl=64 (request in 142)"
144,43.741351,172.20.10.5,172.20.10.1,ICMP,Benign,74,"Echo (ping) request  id=0x0001, seq=20/5120, ttl=128 (reply in 145)"
145,43.744653,172.20.10.1,172.20.10.5,ICMP,Benign,74,"Echo (ping) reply    id=0x0001, seq=20/5120, ttl=64 (request in 144)"
